id,cena_pln,log_cena_pln,metraz_m2,log_metraz_m2,cena_za_m2,liczba_pokoi,pietro,pietro_maks,parter,ostatnie_pietro,dzielnica,data_pobrania
ID4A9pF,1025261,13.840457772287214,76.29,4.334541868102138,13439.0,4,1.0,3.0,False,0.0,Prądnik Biały,2026-08-05
ID1ajYU1,379000,12.845291484064564,23.46,3.1552968432253294,16155.16,1,1.0,,False,,Dębniki,2026-08-05
ID4ulTN,961408,13.77615415560563,64.96,4.173771695853422,14800.0,3,6.0,10.0,False,0.0,Bieżanów-Prokocim,2026-08-05
ID4BwRo,688000,13.44154411691548,50.58,3.923556241241819,13602.21,2,4.0,3.0,False,0.0,Podgórze,2026-08-05
ID1bAY2v,1450000,14.187074114396758,74.0,4.30406509320417,19594.59,4,2.0,,False,,Prądnik Czerwony,2026-08-05
ID4CgG0,949000,13.763164077592064,61.18,4.113820338722757,15511.61,3,2.0,4.0,False,0.0,Podgórze Duchackie,2026-08-05
ID4Cf8x,614000,13.32775020712928,47.0,3.8501476017100584,13063.83,3,8.0,15.0,False,0.0,Prądnik Czerwony,2026-08-05
ID4BD8H,860000,13.664687668229693,46.0,3.828641396489095,18695.65,2,3.0,3.0,False,1.0,Krowodrza,2026-08-05
ID4CgRT,899000,13.709038313453757,58.0,4.060443010546419,15500.0,2,2.0,2.0,False,1.0,Bronowice,2026-08-05
ID4CdIu,1030000,13.845069360205818,64.55,4.167440117292651,15956.62,3,1.0,8.0,False,0.0,Podgórze,2026-08-05
ID4Ca28,699000,13.457406021215949,36.18,3.588506479967149,19320.07,2,1.0,5.0,False,0.0,Podgórze,2026-08-05
ID4Cpzg,874000,13.680835654637672,41.6,3.728100167267218,21009.62,2,0.0,,True,,Krowodrza,2026-08-05
ID1bChfJ,550000,13.217673557208654,44.0,3.784189633918261,12500.0,2,4.0,,False,,Mistrzejowice,2026-08-05
ID18HUB2,1140000,13.946538820370678,75.0,4.31748811353631,15200.0,4,3.0,,False,,Czyżyny,2026-08-05
